sensor_name,coordinates,latitude,longitude
1303584,POINT (-122.3051209 47.5613208),47.56132125854492,-122.30512237548828
1064041,POINT (-122.319902 47.5027189),47.50271987915039,-122.31990051269531
1282094,POINT (-122.3277173 47.5324786),47.53247833251953,-122.32772064208984
1032128,POINT (-122.350983 47.6322328),47.632232666015625,-122.35098266601562
1302954,POINT (-122.3295504 47.6234498),47.623451232910156,-122.32955169677734
1301920,POINT (-122.3457473 47.7397174),47.739715576171875,-122.34574890136719
1271410,POINT (-122.3145381 47.532366),47.53236770629883,-122.31453704833984
1229282,POINT (-122.2487485 47.4922673),47.49226760864258,-122.24874877929688
1302364,POINT (-122.3132785 47.6624768),47.6624755859375,-122.31327819824219
1308609,POINT (-122.325271 47.5988628),47.59886169433594,-122.32527160644531
1249511,POINT (-122.2861817 47.49581),47.495811462402344,-122.28617858886719
1033099,POINT (-122.3796515 47.6332915),47.63329315185547,-122.37965393066406
1239192,POINT (-122.3320708 47.6062095),47.60620880126953,-122.33206939697266
1287761,POINT (-122.3348049 47.645655),47.64565658569336,-122.33480834960938
1033187,POINT (-122.2788346 47.5224061),47.52240753173828,-122.2788314819336
1242723,POINT (-122.3434943 47.7140976),47.71409606933594,-122.34349060058594
1234910,POINT (-122.2570244 47.4859524),47.48595428466797,-122.25702667236328
1306673,POINT (-122.3320708 47.6062095),47.60620880126953,-122.33206939697266
1255230,POINT (-122.3657521 47.5630579),47.56305694580078,-122.36575317382812
1236500,POINT (-122.2674894 47.6732553),47.673255920410156,-122.26748657226562
1230839,POINT (-122.3193953 47.520891),47.52088928222656,-122.31939697265625
1303257,POINT (-122.3491699 47.6210896),47.621089935302734,-122.34916687011719
10314512,POINT (-122.1274117 47.5838357),47.58383560180664,-122.12741088867188
1035503,POINT (-122.3173179 47.693292),47.69329071044922,-122.31731414794922
1224666,POINT (-122.324306 47.489288),47.489288330078125,-122.32430267333984
1297268,POINT (-122.3549926 47.6195467),47.619544982910156,-122.35499572753906
1002688,POINT (-122.3562465 47.5012589),47.501258850097656,-122.35624694824219
104302115,POINT (-122.1671315 47.5766937),47.57669448852539,-122.16712951660156
1023820,POINT (-122.2704641 47.5045602),47.50455856323242,-122.27046203613281
1269463,POINT (-122.3434767 47.6998043),47.69980239868164,-122.34347534179688
1263493,POINT (-122.2693859 47.5546256),47.55462646484375,-122.2693862915039
1297580,POINT (-122.286633 47.662009),47.662010192871094,-122.28663635253906
1239093,POINT (-122.3320708 47.6062095),47.60620880126953,-122.33206939697266
1291674,POINT (-122.3245722 47.5459581),47.54595947265625,-122.32456970214844
1288092,POINT (-122.2776729 47.570465),47.570465087890625,-122.27767181396484
1233363,POINT (-122.3445211 47.7180634),47.71806335449219,-122.34452056884766
104115939,POINT (-122.2015159 47.6101497),47.61014938354492,-122.2015151977539
12297418,POINT (-122.1888587 47.557102),47.55710220336914,-122.18885803222656
1023592,POINT (-122.3041077 47.6433725),47.64337158203125,-122.30410766601562
